route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_color,route_text_color
3,7571215,521,Chemuna ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7574301,441,Okponglo ↔ American House,AM3,,1779c2,ffffff
3,7495685,176,Circle ↔ Bubiashie Control (Old Station ),AM3,,1779c2,ffffff
3,7471624,208,Stadium ↔ Circle,AM3,,1779c2,ffffff
3,7460876,290,Kaneshie Takoradi Station ↔ Dansoman Last Stop,AM3,,1779c2,ffffff
3,7496962,56,Race Course ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7462415,301,Kasoa ↔ Korle Bu,AM3,,1779c2,ffffff
3,7453712,88,Asofan ↔ Achimota,AM3,,1779c2,ffffff
3,7480337,309,Kotobabi Down ↔ Circle Lido,AM3,,1779c2,ffffff
3,7461906,435,Odorkor ↔ Kasoa,AM3,,1779c2,ffffff
3,7571475,473,Chemuna ↔ Accra Salaga,AM3,,1779c2,ffffff
3,7458324,52,Mayera ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7485974,310,Kotobabi Down ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7517720,36,Agbogbloshie ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7460717,288,Swanlake ↔ Kaneshie,AM3,,1779c2,ffffff
3,7420442,76,37 ↔ Achimota,AM3,,1779c2,ffffff
3,7499803,337,Ashaiman ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7423322,275,Madina-Adenta ↔ Kaneshie,AM3,,1779c2,ffffff
3,7580705,303,Mallam ↔ Korle Bu,AM3,,1779c2,ffffff
3,7457826,523,Trade Fair (La) ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7421019,2,Osu (37 Station) ↔ 37 Lorry Park,AM3,,1779c2,ffffff
3,7499300,240,Nyamekye ↔ Dansoman,AM3,,1779c2,ffffff
3,7482407,343,Race Course ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7437148,10,Amasaman ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7472170,401,Nima Overhead ↔ Israel Lomnava,AM3,,1779c2,ffffff
3,7481388,380,Haatso ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7502383,373,Dzorwulu ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7473843,188,Circle ↔ Asore Danho,AM3,,1779c2,ffffff
3,7605813,449,Orgle Street ↔ Kaneshie,AM3,,1779c2,ffffff
3,7488566,267,Kaneshie ↔ Appiah Danquah/ Soko,AM3,,1779c2,ffffff
3,7460919,291,Korle Bu ↔ Kaneshie Takoradi Station,AM3,,1779c2,ffffff
3,7548984,227,Manhean ↔ Accra CMB,AM3,,1779c2,ffffff
3,7502905,425,Nungua ↔ Circle Odorna,AM3,,1779c2,ffffff
3,7466042,71,American House ↔ Accra End of the Motorway,AM3,,1779c2,ffffff
3,7488778,243,Santa Maria ↔ Dansoman,AM3,,1779c2,ffffff
3,7477772,356,Mallam Atta ↔ Achimota,AM3,,1779c2,ffffff
3,7479359,193,Immesco Rice ↔ Circle,AM3,,1779c2,ffffff
3,7559234,61,Accra ↔ Abelemkpe,AM3,,1779c2,ffffff
3,7480899,338,Lomnava ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7571012,538,Zambrama Line ↔ Kaneshie,AM3,,1779c2,ffffff
3,7488069,274,Maamobi ↔ Kaneshie,AM3,,1779c2,ffffff
3,7415878,11,Circle Accra ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7466844,90,Darkuman ↔ Achimota,AM3,,1779c2,ffffff
3,7441993,21,Dome ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7432164,420,Kotobabi Down ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7480396,996,Nima - Maamobi ↔ Circle,AM3,,1779c2,ffffff
3,9642061,119,St. Johns ↔ Madina,AM3,,1779c2,ffffff
3,7482125,344,Santa Maria ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7493202,262,Glefe ↔ Accra Bishop,AM3,,1779c2,ffffff
3,7584341,368,Accra New Tema Station ↔ Abelemkpe,AM3,,1779c2,ffffff
3,7462998,305,Kaneshie ↔ Dansoman,AM3,,1779c2,ffffff
3,7518807,38,Amasaman ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7479896,226,Pigfarm ↔ Circle,AM3,,1779c2,ffffff
3,7426651,242,Odorkor ↔ Dansoman,AM3,,1779c2,ffffff
3,7517276,9,Adeyman ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7541690,85,Akweteman Zongo ↔ Achimota,AM3,,1779c2,ffffff
3,7423582,276,Mamponse ↔ Kaneshie,AM3,,1779c2,ffffff
3,7481933,369,Agbogbloshie ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7472079,402,Nima Overhead ↔ Awoshie Last Stop,AM3,,1779c2,ffffff
3,7586940,434,Odorkor ↔ Anyah,AM3,,1779c2,ffffff
3,7549788,228,Odorkor ↔ Accra CMB,AM3,,1779c2,ffffff
3,7598186,467,Sakaman Blue Lagoon ↔ Accra Rawlings Park,AM3,,1779c2,ffffff
3,7579940,443,Okponglo ↔ Christian Centre,AM3,,1779c2,ffffff
3,7554159,260,Ebenezer ↔ Accra Bishop,AM3,,1779c2,ffffff
3,7499299,306,Korle Bu ↔ Darkuman,AM3,,1779c2,ffffff
3,7445275,35,Agape ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7445109,28,Circle Indust. Area ↔ Abeka Main Market,AM3,,1779c2,ffffff
3,7459958,470,Osu Penta Hotel ↔ Accra Rawlings Park,AM3,,1779c2,ffffff
3,7495800,177,Circle ↔ Bubiashie-Atico,AM3,,1779c2,ffffff
3,7425145,998,Circle Overhead ↔ Ashaiaman,AM3,,1779c2,ffffff
3,7426683,264,Hansonic ↔ Dansoman Last Stop,AM3,,1779c2,ffffff
3,7475836,157,Circle ↔ Alajo,AM3,,1779c2,ffffff
3,7573629,463,Mamprobi ↔ Accra Post Office,AM3,,1779c2,ffffff
3,7598208,485,Soko ↔ Accra Post Office,AM3,,1779c2,ffffff
3,7575488,442,Okponglo ↔ Bawaleshie,AM3,,1779c2,ffffff
3,7406210,31,37 ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,7541891,104,Mayera/Adusa ↔ Achimota,AM3,,1779c2,ffffff
3,9404548,525,Adenta Station ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,7589313,394,Nima ↔ Ashaiman,AM3,,1779c2,ffffff
3,7478410,174,Circle ↔ Bubiashie Ayigbe Town,AM3,,1779c2,ffffff
